epoch,loss,precision,recall,f1,iou
1,0.4804,0.1152,0.1617,0.1316,0.0708
2,0.3124,0.3581,0.0753,0.1210,0.0653
3,0.2321,0.4750,0.1375,0.2093,0.1182
4,0.1920,0.5018,0.2107,0.2907,0.1727
5,0.1691,0.5522,0.2191,0.3057,0.1836
6,0.1520,0.5720,0.2687,0.3590,0.2223
7,0.1381,0.5885,0.3146,0.4028,0.2562
8,0.1269,0.6349,0.2460,0.3479,0.2147
9,0.1176,0.6269,0.3757,0.4650,0.3070
10,0.1133,0.6346,0.3272,0.4253,0.2743
1,0.6818,0.1082,0.2776,0.1536,0.0841
2,0.4498,0.2086,0.0278,0.0481,0.0249
3,0.3458,0.3390,0.0520,0.0876,0.0470
4,0.2918,0.5754,0.0499,0.0883,0.0472
5,0.2513,0.4874,0.1952,0.2635,0.1555
6,0.2277,0.5271,0.1128,0.1792,0.1019
7,0.2049,0.5130,0.2407,0.3212,0.1953
8,0.1861,0.6002,0.2409,0.3369,0.2069
9,0.1688,0.6088,0.2960,0.3902,0.2467
10,0.1561,0.5966,0.3409,0.4273,0.2759
11,0.1461,0.6064,0.3267,0.4168,0.2675
12,0.1361,0.5614,0.4759,0.5097,0.3469
13,0.1262,0.6260,0.4300,0.5044,0.3431
14,0.1183,0.6096,0.4536,0.5134,0.3506
15,0.1110,0.6575,0.4419,0.5219,0.3587
16,0.1053,0.6527,0.4917,0.5554,0.3898
17,0.0994,0.6438,0.4653,0.5341,0.3699
18,0.0940,0.5691,0.5868,0.5722,0.4051
19,0.0887,0.6562,0.4863,0.5544,0.3881
20,0.0841,0.6035,0.5778,0.5854,0.4176
